danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,clusterIndex
97,95,77,9,99,96,99,97,98,11,3
93,90,8,99,99,96,99,99,90,18,0
95,88,87,89,99,97,99,79,90,82,1
96,96,29,69,99,88,100,99,98,99,2
93,92,17,94,99,90,99,98,88,43,0
98,97,17,97,99,87,100,98,92,99,2
86,93,64,56,99,99,99,99,89,86,1
87,87,87,98,99,96,99,94,80,56,0
96,98,87,42,99,92,99,99,99,0,3
92,82,4,98,99,96,99,85,86,98,2
86,90,100,69,99,98,99,99,84,99,1
86,86,29,98,99,99,99,97,81,0,0
84,86,100,57,99,99,99,99,78,73,1
87,92,8,90,99,99,99,98,92,15,0
91,85,17,65,99,99,99,98,82,0,0
92,94,64,57,99,95,99,99,96,36,0
93,94,17,82,99,88,100,99,94,98,2
94,98,42,99,99,95,99,99,95,98,2
97,98,77,97,99,95,99,99,98,73,1
88,79,17,0,99,99,100,91,85,0,3
89,87,29,51,99,95,100,99,94,87,2
86,82,17,82,99,94,99,94,78,49,0
95,87,42,96,99,99,100,96,99,38,0
95,80,29,81,99,99,99,99,80,82,2
85,83,64,69,99,99,99,99,78,91,1
86,90,100,29,99,94,99,98,78,75,1
96,87,17,55,99,92,100,99,96,2,3
98,93,4,91,99,90,100,99,88,2,0
94,91,42,99,99,99,99,92,96,23,0
88,88,100,75,99,98,99,99,87,79,1
83,86,17,30,99,99,100,99,78,84,2
87,90,100,16,99,94,100,95,84,84,1
86,80,17,0,99,99,100,95,86,99,2
89,88,17,1,99,92,99,96,84,34,3
90,93,8,70,99,97,100,95,88,30,0
94,82,17,20,99,94,100,99,92,99,2
94,96,100,99,99,96,100,99,97,62,1
91,95,50,62,99,90,100,98,99,29,0
96,93,17,1,99,94,99,99,95,0,3
93,95,17,51,99,84,100,99,94,4,3
